Year,Poverty_Level,Average_Total_Killed
2002,medium,120.91666666666667
2004,high,74.16666666666667
2005,high,20.083333333333332
2006,high,57.083333333333336
2007,high,33.083333333333336
2008,medium,77.08333333333333
2009,high,87.08333333333333
2010,high,7.583333333333333
2011,high,10.583333333333334
2012,medium,21.833333333333332
2014,medium,197
2016,high,10.583333333333334
2018,low,25.333333333333332
2020,low,3.0833333333333335
